,ID_REF,GSM4030288,GSM4030289,GSM4030290,GSM4030291,GSM4030292,GSM4030293,GSM4030294
19694,17352016,5.75554,5.399430000000001,5.4157,5.639530000000001,5.66354,5.73705,5.598730000000001
19695,17352018,5.57076,4.88692,5.21381,5.3564300000000005,4.98187,4.93325,4.69265
19696,17352020,11.3871,11.8312,11.5155,11.5013,11.2561,11.3449,11.4292
19697,17352036,5.8663,6.60486,5.64149,6.0784199999999995,5.03749,6.640569999999999,7.126930000000001
19698,17352056,7.02809,7.170669999999999,6.99109,6.74938,7.10635,7.00357,7.04753
19699,17352102,5.26617,5.25599,5.19309,5.17398,4.96673,5.10692,5.06151
19700,17352106,3.52771,2.9548,2.99221,2.93158,3.18758,2.68063,2.28974
19701,17352108,6.875889999999999,6.903510000000001,6.78793,6.830139999999999,6.39432,6.78406,6.975339999999999
19702,17352110,3.54965,3.95666,4.36506,4.39127,3.26879,4.1776599999999995,4.89008
19703,17352112,6.30324,6.07517,5.98108,6.00068,5.40921,5.91539,6.332000000000001
19704,17352114,6.35795,6.13756,6.07176,5.91293,5.34117,5.90543,6.37969
19705,17352116,6.35795,6.13756,6.07176,5.91293,5.34117,5.90543,6.37969
19706,17352118,6.875889999999999,6.903510000000001,6.78793,6.830139999999999,6.39432,6.78406,6.975339999999999
19707,17352120,5.70378,4.749709999999999,4.5917,5.00363,5.72091,4.58007,4.58372
19708,17352126,4.3823,5.16552,4.84811,5.0769,5.1825,4.5572099999999995,4.8942
19709,17352132,8.34798,8.65025,8.41972,8.716560000000001,8.01044,8.30525,8.35398
19710,17352146,5.722919999999999,5.94945,6.09079,5.781680000000001,5.48146,5.90514,5.696359999999999
19711,17352166,4.73991,4.65559,4.59506,4.81471,4.83365,4.48825,4.57112
19712,17352169,3.50124,3.75005,3.2879099999999997,4.19489,3.6830300000000005,3.50644,3.53933
19713,17352171,1.71898,1.6427599999999998,2.30107,1.8598599999999998,1.6479599999999999,1.6851900000000002,1.66693
19714,17352173,2.24626,1.6386599999999998,2.2598599999999998,2.0495799999999997,2.0611200000000003,1.7661099999999998,1.7419
19715,17352175,5.61875,5.21145,5.73389,5.44418,5.34578,5.35243,5.44423
19716,17352193,7.16173,6.5798,6.7139999999999995,6.38707,6.33073,6.22866,6.10617
19717,17352196,7.265560000000001,7.48469,6.7733,7.65096,7.03145,7.038860000000001,6.8967600000000004
19718,17352198,4.38014,3.92812,4.0038,4.07409,3.3937199999999996,3.6763,3.5948900000000004
19719,17352203,7.289680000000001,7.607010000000001,7.20609,7.551,7.33789,7.3829199999999995,7.7469600000000005
19720,17352212,7.458419999999999,7.783110000000001,7.067410000000001,8.66184,7.7445699999999995,7.73406,7.46915
19721,17352216,4.71403,4.82256,4.73796,5.002280000000001,4.71015,4.44445,4.5136400000000005
19722,17352227,4.5065,4.7500599999999995,4.7441,4.821280000000001,4.62236,4.49183,4.0856699999999995
19723,17352229,6.23815,6.49951,6.35191,6.324269999999999,6.171930000000001,5.90625,6.0852699999999995
19724,17352241,3.3357,3.2115400000000003,3.27156,3.51053,3.1021400000000003,2.97824,3.3086
19725,17352252,3.7761400000000003,3.3643199999999998,3.6793199999999997,3.42036,3.12395,3.2657,3.40038
19726,17352265,4.87777,5.0445400000000005,4.93596,5.083469999999999,4.89302,4.68622,4.57646
19727,17352275,8.51717,7.79303,7.89883,8.11876,7.58078,7.283060000000001,7.48755
19728,17352330,3.86501,3.93747,4.1502300000000005,4.0763300000000005,4.063619999999999,3.8319099999999997,3.9072400000000003
19729,17352343,1.49377,1.48109,2.06035,1.28334,1.51252,2.07812,1.7936400000000001
19730,17352345,3.81483,3.5625199999999997,3.5738300000000005,3.59714,3.6295800000000003,3.27275,3.4392300000000002
19731,17352347,10.1322,10.0574,9.96866,10.2835,10.0104,9.80978,9.85165
19732,17352366,9.20536,8.987739999999999,8.97295,9.18378,7.6824699999999995,8.70609,8.63269
19733,17352368,3.9978300000000004,3.8492900000000003,3.72264,4.3318900000000005,4.0812800000000005,3.6975800000000003,3.99989
19734,17352371,6.9276800000000005,6.60513,6.453069999999999,7.0769899999999994,6.57005,6.5759300000000005,6.5682
19735,17352399,2.88725,3.00505,2.77523,3.38185,3.05104,2.98284,3.6446300000000003
19736,17352401,5.42444,4.63385,4.79038,4.91591,4.7568,4.79371,4.58229
19737,17352412,4.5511800000000004,4.77984,4.72383,5.2961,4.3857,4.31533,4.35401
19738,17352415,4.81206,4.74245,4.1207400000000005,4.649769999999999,4.42161,4.52224,4.54974
19739,17352419,7.61822,6.91217,6.1429800000000006,6.581689999999999,6.51945,6.4145199999999996,6.32646
19740,17352427,5.77209,5.56487,5.2967,5.30697,5.4343,5.51591,5.3791400000000005
19741,17352439,8.558639999999999,8.144969999999999,8.22975,8.35395,8.23594,7.914160000000001,8.35195
19742,17352462,9.38829,9.85483,9.98905,10.0189,9.920110000000001,9.89221,9.99417
19743,17352493,9.1152,8.72827,8.60384,8.787939999999999,8.73542,8.49018,8.254
19744,17352517,3.90918,4.8222,3.74235,4.2791,4.08856,3.97939,3.88666
19745,17352527,3.58534,3.90069,3.6414199999999997,3.5578199999999995,3.4142,3.84562,3.4306
19746,17352549,7.9576199999999995,8.014380000000001,7.5359300000000005,7.98164,8.23407,7.95185,8.750630000000001
19747,17352571,5.76976,5.31765,5.46314,5.34353,5.76768,5.16246,5.853330000000001
19748,17352573,4.86181,4.98029,4.69367,5.37226,4.80284,4.78541,5.14695
19749,17352575,3.9924,4.0807,4.33257,4.273630000000001,4.05218,4.20009,4.10175
19750,17352580,9.56072,9.40449,9.23415,9.5188,9.10055,9.01038,9.27529
19751,17352593,3.06495,2.81839,3.09662,3.40122,2.66578,3.23616,2.86012
19752,17352599,4.37796,4.85968,4.09745,3.81126,4.87154,4.53486,4.260680000000001
19753,17352601,2.4325099999999997,1.7467099999999998,1.79803,2.73168,1.8567900000000002,1.56152,1.7261799999999998
19754,17352603,8.896460000000001,9.27633,8.95238,9.465019999999999,9.210939999999999,8.82558,9.177769999999999
19755,17352621,10.0345,10.1484,10.3494,10.3601,10.187000000000001,9.82414,10.0872
19756,17352656,10.9495,10.6025,10.3583,10.7431,11.1279,10.8586,10.6478
19757,17352660,4.87282,4.50291,4.2126,5.05906,4.94064,4.7222599999999995,4.4730099999999995
19758,17352662,9.333269999999999,9.551960000000001,9.461780000000001,9.95885,8.966389999999999,9.00507,8.9407
19759,17352680,7.5487899999999994,7.06765,7.4303300000000005,6.074990000000001,5.78407,6.09509,6.62581
19760,17352693,2.3333,2.40636,1.56516,2.1842599999999996,2.6728099999999997,2.8441400000000003,2.16983
19761,17352695,3.7815300000000005,3.04197,2.2612,3.58875,3.03786,2.3297,2.21082
19762,17352697,4.79415,5.11992,5.171130000000001,5.29427,4.9753300000000005,4.81502,4.82072
19763,17352704,4.78955,4.4856,4.85755,4.130780000000001,4.47556,4.7884199999999995,4.94515
19764,17352710,3.7612300000000003,3.67628,3.20737,2.96181,2.88097,3.73145,4.12274
19765,17352712,5.3605599999999995,5.512569999999999,5.32835,4.98986,5.27377,5.27922,5.19396
19766,17352731,7.06468,7.505719999999999,7.54115,6.86073,6.734660000000001,7.0007,7.150869999999999
19767,17352763,5.23249,5.1725900000000005,5.59386,4.8642900000000004,5.030880000000001,5.18459,5.62945
19768,17352775,3.8866099999999997,3.83132,3.9724,4.15696,3.99171,3.99937,4.06637
19769,17352777,3.8533199999999996,3.85339,3.8809699999999996,4.3695,4.1067599999999995,3.79695,3.93454
19770,17352779,6.70776,6.6437,6.49046,6.19768,5.99055,6.2448,6.50478
19771,17352824,8.330060000000001,6.684410000000001,6.122999999999999,8.404110000000001,8.41133,7.584410000000001,6.47297
19772,17352835,8.191930000000001,7.53665,7.284730000000001,7.8656,7.64608,7.465330000000001,7.827889999999999
19773,17352850,8.02421,6.1082,5.82125,6.11541,5.38806,5.56845,6.1025
19774,17352859,4.673690000000001,5.46039,4.56712,5.03284,4.91449,5.54655,5.258319999999999
19775,17352862,4.96253,4.732069999999999,5.61603,5.61374,4.38543,3.8500699999999997,4.369
19776,17352872,2.49289,2.55403,2.36794,2.9337400000000002,2.85574,2.3166,1.97757
19777,17352880,1.8475700000000002,1.65284,2.01096,2.1188,2.09565,1.80367,1.58215
19778,17352882,1.89375,2.48274,2.23444,1.9539799999999998,2.3738900000000003,2.28979,1.8921
19779,17352884,10.1933,10.525,10.1963,10.3005,10.4387,10.1626,10.2597
19780,17352905,3.05539,2.78377,2.95329,3.0150799999999998,3.0683,2.94788,2.98942
19781,17352907,3.35512,3.5310599999999996,3.2467599999999996,4.09244,3.42869,3.6664,3.6668199999999995
19782,17352909,2.91876,2.3529400000000003,2.57415,3.4010800000000003,2.77629,2.67774,2.6139200000000002
19783,17352913,4.007680000000001,3.9288300000000005,4.13615,3.8057300000000005,4.05208,3.99606,3.80765
