Gene_ID	binary
84632	0
163175	0
4637	0
2936	0
10656	0
79053	0
7026	0
64096	0
9153	0
6209	0
3084	0
92359	0
2247	0
9531	0
728215	0
23645	0
10608	0
391123	0
4091	0
55973	0
9619	0
375318	0
5511	0
26689	0
84134	0
6690	0
85437	0
5989	0
11081	0
57153	0
-	0
2877	0
51734	0
23279	0
59277	0
408	0
1289	0
7355	0
2908	0
49854	0
23165	0
11272	0
10916	0
152137	0
162681	0
2676	0
663	0
3688	0
9447	0
27147	0
5295	0
54842	0
54682	0
10493	0
8477	0
79784	0
133015	0
29781	0
6847	0
25970	0
23643	0
11316	0
255812	0
79053	0
3192	0
25793	0
415116	0
344658	0
27020	0
202915	0
22822	0
27072	0
